date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,target
2010-07-25,25,18,0.0,7.0,5,96,08:22 PM,05:36 AM,06:05 AM,08:37 PM,20,24,24,22,24,60,88,16.7,1013,25,7,281,12,Northern California,0
2010-07-26,27,15,0.0,14.0,6,100,08:51 PM,06:37 AM,06:06 AM,08:36 PM,14,20,21,20,13,26,69,0.0,1019,27,8,180,8,Northern California,0
2010-07-15,28,13,0.0,16.0,6,23,10:41 AM,10:55 PM,05:29 AM,09:02 PM,13,21,21,21,9,0,59,0.0,1019,28,10,242,5,Tacoma,0
2010-07-16,31,26,0.0,13.0,6,30,11:37 AM,11:20 PM,05:57 AM,08:22 PM,24,32,32,28,28,19,77,1.3,1015,31,10,218,17,Virginia,0
2010-07-17,33,26,0.0,13.0,6,37,12:58 PM,No moonset,06:16 AM,08:31 PM,22,32,32,28,26,34,73,1.2,1017,33,9,235,14,Southern California,0
2010-07-18,33,22,0.0,15.0,7,45,01:54 PM,No moonset,05:40 AM,08:24 PM,19,29,29,28,18,11,63,0.0,1011,33,10,268,10,New York,0
2010-07-19,32,21,0.0,12.0,6,52,03:03 PM,12:10 AM,05:41 AM,08:23 PM,22,30,30,27,17,25,77,4.8,1010,32,10,215,7,New York,0
2010-06-25,26,16,0.0,15.0,6,96,08:06 PM,04:15 AM,05:14 AM,08:26 PM,16,21,22,21,19,2,73,0.0,1017,26,10,167,10,Michigan,0
2010-06-26,28,26,0.0,12.0,6,100,07:25 PM,05:48 AM,05:50 AM,07:03 PM,24,31,31,27,19,55,83,18.5,1014,28,10,69,11,Island of Puerto Rico,0
2010-06-06,23,13,0.0,15.0,4,25,01:36 AM,02:41 PM,05:24 AM,08:29 PM,14,18,19,18,26,16,80,0.4,1012,23,10,233,14,Ohio,0
2010-01-18,9,2,0.0,9.0,1,17,08:46 AM,08:25 PM,07:17 AM,04:57 PM,2,1,4,1,27,65,91,1.6,1008,9,8,179,16,New York,0
2010-01-19,16,5,0.0,10.0,3,24,09:29 AM,09:46 PM,07:24 AM,05:33 PM,7,9,10,9,13,20,86,0.0,1015,16,10,210,7,Southern California,0
2010-01-20,15,4,0.0,10.0,2,31,09:53 AM,10:43 PM,07:26 AM,05:32 PM,7,7,9,7,17,50,86,2.6,1013,15,8,178,9,North Carolina,0
2010-01-21,1,-7,0.0,10.0,2,39,10:11 AM,11:46 PM,07:34 AM,05:20 PM,-5,-9,-3,-9,34,36,79,0.3,1019,1,9,117,21,Northern and Central California,0
2010-01-22,26,24,0.0,9.0,6,46,11:15 AM,No moonset,06:59 AM,06:12 PM,23,28,28,26,19,30,84,0.9,1014,26,10,142,11,Island of Puerto Rico,0
2010-01-23,8,-1,0.0,10.0,2,53,11:19 AM,12:43 AM,07:25 AM,05:35 PM,1,1,3,1,16,27,86,0.0,1021,8,6,114,8,North Carolina,0
2010-01-24,9,-3,0.0,1.0,1,60,11:23 AM,01:38 AM,07:14 AM,05:05 PM,2,1,3,1,19,74,94,0.2,1019,9,8,125,10,Newark,0
2010-01-25,14,6,0.0,1.0,3,68,12:07 PM,02:46 AM,07:13 AM,05:06 PM,10,8,11,8,55,80,93,33.2,998,14,8,204,28,Newark,0
2010-01-26,20,3,0.0,11.0,4,75,02:02 PM,03:28 AM,06:56 AM,05:46 PM,3,10,10,10,16,21,68,0.0,1014,20,8,164,8,San Francisco Bay Area,0
2010-01-27,-1,-6,0.0,7.0,1,82,02:28 PM,05:15 AM,07:30 AM,05:27 PM,-8,-11,-4,-11,38,71,80,0.0,1021,-1,5,258,23,Northern and Central California,0
