id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KOWD0,Norwood,US,MA,,KOWD,42.1905,-71.1729,15.0,America/New_York,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KGLR0,Gaylord / Nottingham Forest Mobile Home Park,US,MI,,KGLR,45.0136,-84.7036,405.0,America/Detroit,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
72233,Slidell,US,LA,72233,KLIX,30.3333,-89.8167,8.0,America/Chicago,,,1988-09-01,2023-12-05,1988-01-01,2022-01-01
KTWM0,Two Harbors / Waldo,US,MN,,KTWM,47.0491,-91.7452,327.0,America/Chicago,2006-01-01,2023-12-13,2006-01-03,2022-04-24,2007-01-01,2021-01-01
KBWP0,Wahpeton / Boise De Sioux Mobile Estates,US,ND,,KBWP,46.2443,-96.6072,295.0,America/Chicago,2006-01-01,2023-12-13,2006-01-06,2022-04-24,2006-01-01,2022-01-01
72651,Sioux Falls Foss Field,US,SD,72651,KFSD,43.5833,-96.75,436.0,America/Chicago,1942-10-01,2023-12-13,1932-01-01,2023-12-05,1932-01-01,2022-01-01
KL350,Big Bear City,US,CA,,KL35,34.2638,-116.856,2058.0,America/Los_Angeles,2014-07-31,2023-12-13,2014-08-06,2022-04-24,2020-01-01,2022-01-01
72351,Wichita Falls Sheppard Afb,US,TX,72351,KSPS,33.9833,-98.4928,309.0,America/Chicago,1942-04-13,2023-12-13,1897-01-01,2023-12-05,1897-01-01,2022-01-01
72301,Hickory / Longview,US,NC,72301,KHKY,35.7411,-81.3895,363.0,America/New_York,2005-01-01,2023-12-13,1949-01-01,2023-12-05,1949-01-01,2022-01-01
KLBT0,Lumberton,US,NC,,KLBT,34.6099,-79.0594,38.0,America/New_York,1999-01-19,2023-12-13,1999-01-20,2019-01-28,2005-01-01,2018-01-01
1CZCV,Enid Woodring Regional Airport,US,OK,,KWDG,36.3792,-97.7911,356.0,America/Chicago,2022-04-23,2023-12-13,2022-04-24,2022-04-26,,
70386,Petersburg,US,AK,70386,PAPG,56.8167,-132.9667,0.0,America/Juneau,1973-01-01,2023-12-13,1924-05-01,2023-12-10,1924-01-01,2022-01-01
KM080,Bolivar / Sugar Hill,US,TN,,KM08,35.2151,-89.0431,152.0,America/Chicago,2016-08-04,2023-12-13,2016-08-06,2022-04-24,2017-01-01,2022-01-01
KBYY0,Bay City / Caney,US,TX,,KBYY,28.9733,-95.8634,14.0,America/Chicago,2006-07-14,2023-12-13,2007-10-30,2022-04-24,2012-01-01,2022-01-01
KIEN0,Pine Ridge,US,SD,,KIEN,43.0225,-102.511,1016.0,America/Denver,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2021-01-01
PASD0,Sand Point,US,AK,,PASD,55.3137,-160.5214,6.0,America/Juneau,2005-01-01,2023-12-13,2005-01-04,2022-04-24,2011-01-01,2021-01-01
KGHG0,Marshfield Municipal Airport / Fieldston,US,MA,,KGHG,42.0983,-70.6721,3.0,America/New_York,2005-12-19,2023-12-13,2005-12-20,2022-04-24,2015-01-01,2022-01-01
KLUK0,Cincinnati / Columbia,US,OH,,KLUK,39.1033,-84.4186,147.0,America/New_York,1973-01-01,2023-12-13,1973-01-01,2022-04-24,1999-01-01,2022-01-01
GI6A0,Golf (Sidney),US,NE,,K1GW,41.22,-103.1,1334.0,America/Denver,2022-05-06,2022-06-16,,,,
KEST0,Estherville / Gruver,US,IA,,KEST,43.4074,-94.7464,402.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KECU0,Rocksprings,US,TX,,KECU,29.9469,-100.1739,723.0,America/Chicago,2006-03-01,2023-12-13,2011-02-19,2022-02-28,2014-01-01,2022-01-01
KPSC0,Pasco,US,WA,,KPSC,46.2647,-119.119,125.0,America/Los_Angeles,1973-01-01,2023-12-13,1998-02-01,2022-04-24,2005-01-01,2021-01-01
KVJI0,Abington / Rust Hollow,US,VA,,KVJI,36.6871,-82.0333,636.0,America/New_York,2006-01-01,2023-12-13,2006-01-04,2022-04-25,2014-01-01,2022-01-01
1ISN3,New Market Airport,US,VA,,K8W2,38.6557,-78.7081,297.0,America/New_York,2022-05-06,2023-12-13,,,,
HVBFV,Lebanon-Springfield Airport,US,KY,,K6I2,37.6352,-85.2418,264.0,America/New_York,2022-05-06,2023-12-13,,,,
72569,Natrona County International  Airport,US,WY,72569,KCPR,42.9,-106.4667,1630.0,America/Denver,1940-01-01,2023-12-13,1940-01-01,2023-12-05,1940-01-01,2022-01-01
KNFE0,Fentress / Mount Pleasant,US,VA,,KNFE,36.692,-76.1346,5.0,America/New_York,2007-06-03,2023-12-13,2008-10-23,2022-04-24,2009-01-01,2021-01-01
KCFJ0,Crawfordsville / North Union,US,IN,,KCFJ,39.9756,-86.9199,244.0,America/Indiana/Indianapolis,2020-01-14,2023-12-13,2020-01-14,2022-04-24,2020-01-01,2022-01-01
K65S0,Bonners Ferry / Threemile Corner,US,ID,,K65S,48.726,-116.2952,712.0,America/Los_Angeles,2011-01-18,2023-12-13,2011-01-19,2022-03-07,2011-01-01,2021-01-01
KUZA0,Rock Hill / Kimberly Woods,US,SC,,KUZA,34.9878,-81.0572,203.0,America/New_York,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
72768,Glasgow International Airport,US,MT,72768,KGGW,48.2167,-106.6167,699.0,America/Denver,1942-12-10,2023-12-13,1942-12-10,2023-12-05,1943-01-01,2022-01-01
KW810,Crewe,US,VA,,KW81,37.181,-78.0983,128.0,America/New_York,2020-01-14,2023-12-13,2020-01-14,2022-04-25,2020-01-01,2022-01-01
72483,Sacramento Executive Airport,US,CA,72483,KSAC,38.5,-121.5,6.0,America/Los_Angeles,1973-01-01,2023-12-13,1941-11-10,2023-12-05,1941-01-01,2022-01-01
