date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-19,5,-4,0.0,10.0,2,49,11:43 AM,01:06 AM,07:35 AM,05:18 PM,-2,-4,2,-4,45,14,76,0.0,1019,5,10,216,23,Northern%20and%20Central%20California
2009-02-10,21,19,0.0,1.0,4,89,07:35 PM,07:37 AM,07:03 AM,06:05 PM,18,20,20,20,45,96,89,1.9,1012,21,9,167,25,Texas
2011-04-23,21,8,0.0,13.0,4,54,12:43 AM,10:59 AM,06:10 AM,07:31 PM,4,13,14,13,32,14,55,0.0,1012,21,10,261,18,California
2009-03-04,21,14,0.0,12.0,5,52,11:37 AM,01:23 AM,06:41 AM,06:21 PM,14,17,18,17,30,24,78,0.0,1022,21,10,147,18,Texas
2012-08-13,27,16,0.0,10.0,5,19,02:16 AM,03:29 PM,05:54 AM,06:33 PM,17,20,21,20,15,52,83,6.3,1014,27,9,80,4,Alberta
2013-03-02,6,2,0.0,9.0,1,61,11:27 PM,09:09 AM,06:33 AM,05:59 PM,-2,0,4,0,26,42,68,0.0,1011,6,10,321,17,Virginia
2010-04-26,23,12,0.0,13.0,4,89,06:21 PM,04:58 AM,06:30 AM,08:01 PM,11,18,19,18,32,28,68,0.1,995,23,10,260,16,North%20Carolina
2014-12-08,2,-4,0.0,7.0,1,87,06:50 PM,08:36 AM,07:08 AM,04:29 PM,-8,-7,-1,-7,29,61,63,0.0,1035,2,9,47,20,Newark
2014-09-16,30,25,0.0,12.0,7,41,No moonrise,01:10 PM,06:11 AM,06:25 PM,23,31,31,27,15,13,77,0.0,1015,30,10,91,10,Island%20of%20Puerto%20Rico
2013-10-27,13,6,0.0,9.0,2,41,12:14 AM,02:07 PM,07:21 AM,05:58 PM,2,7,9,7,24,32,63,0.0,1015,13,10,280,15,New%20York
2014-05-09,27,22,0.0,14.0,5,67,03:22 PM,03:10 AM,06:31 AM,08:01 PM,21,26,26,24,30,36,84,0.7,1013,27,10,179,15,Texas
2013-05-07,19,9,0.0,14.0,4,10,04:21 AM,05:55 PM,05:47 AM,07:59 PM,11,14,14,14,17,28,85,0.0,1020,19,8,97,10,New%20York
2010-09-13,26,20,0.0,13.0,6,31,12:49 PM,10:34 PM,06:44 AM,07:15 PM,16,22,23,22,24,23,71,4.8,1015,26,10,233,15,Virginia
2008-10-15,23,19,0.0,11.0,6,100,06:41 PM,08:08 AM,07:12 AM,06:26 PM,17,21,22,21,17,24,73,0.0,1019,23,10,184,10,Virginia
2014-05-04,24,12,0.0,13.0,5,31,11:42 AM,12:18 AM,07:13 AM,08:15 PM,9,18,18,18,15,19,61,0.0,1018,24,10,106,10,San%20Francisco%20Bay%20Area
2012-07-15,32,21,0.0,15.0,7,15,02:41 AM,05:52 PM,05:44 AM,08:35 PM,21,30,30,27,11,3,86,0.0,1016,32,7,223,6,Illinois
2014-02-28,-9,-25,0.0,12.0,2,0,06:01 AM,05:37 PM,06:47 AM,06:02 PM,-19,-21,-17,-21,11,13,88,0.0,1029,-9,5,216,6,Pennsylvania
2010-12-06,0,-5,0.0,10.0,2,0,08:09 AM,05:59 PM,07:15 AM,05:03 PM,-8,-8,-3,-8,32,9,71,0.0,1017,0,10,308,17,North%20Carolina
2009-07-28,28,18,0.0,15.0,6,40,01:45 PM,11:43 PM,05:55 AM,08:24 PM,18,24,24,23,18,30,78,3.1,1009,28,10,300,10,Illinois
2013-01-11,14,2,0.0,11.0,3,0,06:38 AM,05:50 PM,06:59 AM,05:34 PM,-3,5,7,5,26,18,50,0.0,1015,14,10,219,10,San%20Francisco%20Bay%20Area
