,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
59,Fuel Supply Emergency - Coal,2014,3/4/2014,3/17/2014,Wisconsin Public Service Corp,"Weston, Wisconsin",MRO,Unknown,Unknown,"fuel supply emergency, coal",09:06:00,09:06:00
60,Suspected Physical Attack,2014,3/3/2014,3/3/2014,"Orange and Rockland Utilities, Inc.",New York,NPCC,Unknown,Unknown,"vandalism, physical",17:25:00,17:25:00
61,Severe Weather - Winter Storm,2014,3/3/2014,3/3/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,"65,904","severe weather, winter storm",06:40:00,15:28:00
62,Fuel Supply Emergency - Hydro,2014,3/3/2014,3/3/2014,Public Utility District #1 of Chelan County (CHPD),"Mid-Columbia River Generation, Washington",WECC,630,Unknown,"fuel supply emergency, hydro",01:48:00,01:49:00
63,Public Appeal due to Severe Weather - Cold,2014,3/2/2014,3/4/2014,ERCOT,ERCOT Region Texas,TRE,,,"severe weather, cold",19:00:00,09:00:00
64,Severe Weather - Thunderstorms/High Winds,2014,2/21/2014,2/21/2014,Southern Company,Northern/Northeastern Georgia,SERC,221,"66,445","severe weather, thunderstorm, wind",02:53:00,21:00:00
65,Severe Weather - Snow/Ice,2014,2/20/2014,2/21/2014,Ameren Missouri,"Missouri, Illinois",SERC,Unknown,"66,000","severe weather, winter storm",16:40:00,23:59:00
66,Physical Attack - Vandalism,2014,2/18/2014,2/18/2014,PacifiCorp,"Bend, Oregon",WECC,,,"vandalism, physical",18:43:00,18:44:00
67,Physical Attack - Vandalism,2014,2/14/2014,2/14/2014,PacifiCorp,"Portland, Oregon",WECC,Unknown,Unknown,"vandalism, physical",13:00:00,15:00:00
68,Severe Weather - Snow/Ice,2014,2/12/2014,2/15/2014,Duke Energy Progress,North Carolina,SERC,Unknown,"200,000","severe weather, winter storm",12:10:00,15:20:00
69,Physical Attack - Vandalism,2014,2/12/2014,2/12/2014,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical",14:15:00,14:16:00
70,Severe Weather - Snow/Ice,2014,2/12/2014,2/15/2014,South Carolina Electric and Gas,South Carolina,SERC,700,"120,124","severe weather, winter storm",11:03:00,08:40:00
71,Severe Weather - Snow/Ice,2014,2/12/2014,2/15/2014,Southern Company,Northern/Northeastern Georgia,SERC,"1,246","373,835","severe weather, winter storm",07:48:00,04:30:00
