,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
898,Shed Firm Load,2010,3/31/2010,4/1/2010,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,324,"290,000",load shedding,23:59:00,00:55:00
899,Shed Firm Load,2010,3/31/2010,4/1/2010,California Independent System Operator,San Diego,WECC,324,,load shedding,23:59:00,00:38:00
900,High Winds and Rain,2010,3/13/2010,3/15/2010,ISO New England,Connecticut,NPCC,50,"50,246","severe weather, wind, rain",12:00:00,20:05:00
901,High Winds and rain,2010,3/13/2010,3/16/2010,Exelon Corporation/PECO,Southeasten Pennsylvania,RFC,,"177,528","severe weather, wind, rain",01:00:00,18:40:00
902,High Winds and Rain,2010,3/13/2010,3/17/2010,Long Island Power Authority,Long Island,NPCC,,"153,000","severe weather, wind, rain",15:00:00,16:00:00
903,High Winds and Rain,2010,3/13/2010,3/20/2010,Public Service Electric & Gas Company,"Southern, Central and Northern New Jersey",RFC,100,"360,000","severe weather, wind, rain",18:00:00,12:59:00
904,High Winds and Rain,2010,3/13/2010,3/20/2010,Consolidated Edison of NY,New York City and Westchester County,NPCC,,"173,000","severe weather, wind, rain",18:00:00,09:00:00
905,High Winds and Flooding,2010,3/13/2010,3/16/2010,Jersey Central Power and Light Company,Central New Jersey and Northern New Jersey,RFC,,"180,000","severe weather, wind, flooding",16:00:00,00:00:00
906,Winter Storm,2010,2/25/2010,2/26/2010,Orange and Rockland Utilities Inc,"Southeastern New York, Northern New Jersey",,,"65,000","severe weather, winter storm",00:01:00,21:00:00
907,Winter Storm,2010,2/25/2010,3/2/2010,Consolidated Edison of NY,New York City,NPCC,,"55,000","severe weather, winter storm",17:00:00,19:00:00
908,Winter Storm,2010,2/25/2010,3/1/2010,ISO New England,Southern Maine and New Hampshire,NPCC,510,"509,606","severe weather, winter storm",23:53:00,16:40:00
909,Winter Storm,2010,2/23/2010,2/25/2010,Central Hudson Gas & Electric Corp,Upstate New York,NPCC,,"150,000","severe weather, winter storm",22:00:00,16:00:00
910,Firm System Load Shed,2010,2/19/2010,2/20/2010,California Department of Water Resources,"San Joaquin Field Division/Bakersfield, CA",WECC,"1,000",,load shedding,20:30:00,04:01:00
911,Winter Storm,2010,2/14/2010,2/14/2010,Allegheny Power,Western Pennsylvania nd Northeast Central WV,RFC,900,"190,000","severe weather, winter storm",10:00:00,12:00:00
912,Winter Storm,2010,2/12/2010,2/12/2010,American Electric Power,"East Texas, Western Arkansas, Northern Lousiania",SPP,,"52,999","severe weather, winter storm",05:00:00,17:00:00
913,Winter Storm,2010,2/11/2010,2/15/2010,Oncor Electric Delivery Company,Dallas/Fort Worth and East Texas,TRE,,"500,000","severe weather, winter storm",12:00:00,21:00:00
914,Winter Storm,2010,2/9/2010,2/14/2010,Exelon Corporation,Southeastern Pennsylvania,RFC,,"223,000","severe weather, winter storm",18:00:00,16:00:00
915,Winter Storm,2010,2/6/2010,2/6/2010,Delmarva Power & Light Company,Delmarva Peninsula,RFC,,"58,491","severe weather, winter storm",08:00:00,09:00:00
916,Winter Storm,2010,2/6/2010,2/7/2010,Dominion,"Virginia, North Carolina",SERC,600,"104,736","severe weather, winter storm",02:30:00,07:00:00
917,Winter Storm,2010,2/5/2010,2/7/2010,Duke Energy Carolinas,North and South Carolina,SERC,500,"74,000","severe weather, winter storm",18:48:00,17:00:00
918,Winter Storm,2010,2/5/2010,2/13/2010,Atlantic City Electric,Southern NJ,RFC,,"221,000","severe weather, winter storm",15:00:00,16:00:00
919,Winter Storm,2010,2/5/2010,2/12/2010,Potomac Electric Power Co,"District of Columbia, Prince Georges and Montgomery Co. MD",RFC,,"97,651","severe weather, winter storm",19:00:00,15:46:00
920,Winter Storm,2010,2/5/2010,2/12/2010,Duquesne Light Company,Southwestern Pennsylvania,RFC,,"57,000","severe weather, winter storm",22:30:00,12:00:00
921,Winter Storm,2010,2/5/2010,2/7/2010,American Electric Power,"Indiana, Ohio, W. Virginia and Virginia",RFC,,"102,225","severe weather, winter storm",23:30:00,02:38:00
922,Ice Storm/Electrical System Separation,2010,2/1/2010,2/1/2010,Western Farmers Electric Cooperative,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding",14:32:00,17:00:00
923,Ice Storm,2010,1/28/2010,2/2/2010,American Electric Power,Oklahoma,SPP,,"68,705","severe weather, winter storm",12:00:00,12:00:00
924,Severe Storm,2010,1/20/2010,1/24/2010,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,,"147,223","severe weather, storm",13:00:00,18:10:00
925,Severe Storm,2010,1/19/2010,1/20/2010,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,"2,650","50,000","severe weather, storm",14:30:00,15:00:00
926,Severe Storm,2010,1/19/2010,1/19/2010,California ISO,San Francisco,WECC,300,"30,000","severe weather, storm",07:30:00,12:24:00
927,Severe Storm,2010,1/18/2010,1/28/2010,Pacific Gas and Electric Company,Northern and Central California,WECC,290,"1,700,000","severe weather, storm",11:30:00,08:00:00
928,Interruptible Load Shed/Made Public Appeals,2010,1/11/2010,1/11/2010,Progress Energy Florida,Northern and Central Florida,"FRCC, SERC",,,"load shedding, public appeal",03:45:00,09:57:00
929,Made Public Appeals,2010,1/6/2010,1/8/2010,Southwest Louisiana Electric Membership Corporation,Southwest Louisiana,SERC,,,public appeal,18:00:00,18:00:00
930,Severe Weather,2009,12/18/2009,12/25/2009,American Electric Power,"West Virginia, Kentucky, Ohio",RFC,,"403,913",severe weather,20:00:00,21:30:00
931,Severe Weather,2009,12/18/2009,12/19/2009,Progress Energy Carolinas Inc,Western North Carolina,SERC,,"47,000",severe weather,22:55:00,23:15:00
932,Severe Weather,2009,12/10/2009,12/12/2009,Detroit Edison,Michigan,RFC,,"65,562",severe weather,17:45:00,08:00:00
933,Severe Weather,2009,12/9/2009,12/10/2009,American Electric Power,Ohio,RFC,,"48,102",severe weather,13:37:00,06:30:00
934,Load Shed/Made Public Appeals,2009,12/8/2009,12/8/2009,California Independent System Operator,California,WECC,,,"load shedding, public appeal",06:34:00,12:00:00
935,Severe Weather,2009,12/8/2009,12/10/2009,Arizona Public Service,Arizona,WECC,,"140,000",severe weather,01:00:00,11:00:00
936,Forced Outage Equipment Failure,2009,12/7/2009,12/8/2009,California Department of Water Resources,California,WECC,400,,equipment failure,22:00:00,04:00:00
937,Switching Failure,2009,11/18/2009,11/18/2009,California Dept of Water Resources,"Central Valley, CA",WECC,630,,equipment failure,06:15:00,10:00:00
938,Tropical Storm Ida,2009,11/12/2009,11/14/2009,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,"335,000","severe weather, hurricane/tropical storm",18:45:00,04:25:00
939,High Winds,2009,10/13/2009,10/13/2009,Sacramento Municipal Utility District,Sacramento County,WECC,90,"94,000","severe weather, wind",15:45:00,17:50:00
940,Ice,2009,10/13/2009,10/13/2009,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,101,"35,500","severe weather, winter storm",12:48:00,14:34:00
941,High Winds and Rain,2009,10/13/2009,10/13/2009,Pacific Gas and Electric,Northern California,WECC,350,"859,554","severe weather, wind, rain",16:00:00,22:30:00
942,Transmission System Interruption,2009,10/9/2009,10/9/2009,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",WECC,180,,transmission interruption,18:30:00,19:10:00
943,Winter Storm,2009,10/9/2009,10/11/2009,Entergy Corporation,Arkansas and North Louisiana,SERC,,"56,000","severe weather, winter storm",22:45:00,16:00:00
944,Severe Storms,2009,10/7/2009,10/9/2009,Detroit Edison,Southeast Michigan,RFC,,"75,000","severe weather, storm",05:45:00,23:00:00
945,Made Public Appeals,2009,8/31/2009,8/31/2009,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,,,public appeal,10:31:00,00:00:00
946,Electrical System Separation,2009,8/29/2009,8/29/2009,Western Area Power Administration Upper Great Plains Region,Western South Dakota,MRO,373,18,islanding,11:00:00,14:01:00
947,Electrical System Separation,2009,8/29/2009,8/29/2009,Midwest ISO,Western South Dakota,RFC,84,0,islanding,22:54:00,23:53:00
948,Thunderstorms,2009,8/21/2009,8/22/2009,CenterPoint Energy,Houston Metropolitan Service Area,TRE,544,"80,000","severe weather, thunderstorm",19:00:00,08:00:00
949,Thunderstorms,2009,8/12/2009,8/12/2009,CenterPoint Energy,South Houston Service Area,TRE,491,"73,000","severe weather, thunderstorm",18:25:00,10:00:00
950,Severe Thunderstorms,2009,8/9/2009,8/10/2009,Consumers Energy,"Michigan, Lower Peninsula",RFC,,"58,156","severe weather, thunderstorm",19:31:00,09:59:00
951,High Winds and Rain,2009,8/7/2009,8/11/2009,Detroit Edison,Western Region of Service Territory,RFC,,"137,000","severe weather, wind, rain",23:00:00,22:00:00
952,Made Public Appeals,2009,8/5/2009,8/5/2009,ERCOT ISO,ERCOT Region,TRE,,,public appeal,15:00:00,19:00:00
953,Thunderstorms,2009,8/4/2009,8/8/2009,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,"63,700","severe weather, thunderstorm",13:45:00,21:00:00
954,Highwinds,2009,8/2/2009,8/3/2009,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,,"70,264","severe weather, wind",02:17:00,13:09:00
955,Loss of Part of Substation,2009,7/28/2009,7/28/2009,PacificCorp,Salt Lake City Utah and Northern Utah,WECC,316,,equipment failure,20:18:00,20:33:00
956,Failure of Computer Hardware Used for Monitoring,2009,7/27/2009,7/27/2009,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,,,equipment failure,05:05:00,05:47:00
957,Unit Tripped,2009,7/21/2009,7/21/2009,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,136,1,generator trip,05:34:00,08:43:00
958,Severe Thunderstorm,2009,7/20/2009,7/22/2009,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,150,"86,058","severe weather, thunderstorm",21:50:00,19:00:00
959,Thunderstorms,2009,7/18/2009,7/19/2009,CenterPoint Energy,Houston/Galveston Area,TRE,51,"73,000","severe weather, thunderstorm",19:00:00,21:00:00
960,Made Public Appeals,2009,7/16/2009,7/16/2009,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,public appeal,13:00:00,18:00:00
961,Made Public Appeals,2009,7/15/2009,7/15/2009,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,public appeal,13:00:00,18:00:00
962,Made Public Appeals,2009,7/14/2009,7/14/2009,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,public appeal,13:00:00,18:00:00
963,Made Public Appeals,2009,7/8/2009,7/8/2009,ERCOT ISO,ERCOT Region,TRE,,,public appeal,13:30:00,19:00:00
964,Made Public Appeals,2009,7/7/2009,7/7/2009,ERCOT ISO,"San Antonio, Texas",TRE,,,public appeal,15:30:00,19:00:00
965,Electrical System Separation,2009,7/2/2009,7/3/2009,ISO New England,Northern Maine,NPCC,0,0,islanding,22:44:00,01:25:00
966,Severe Thunderstorms,2009,6/26/2009,6/29/2009,Connecticut Light and Power,Central Connecticut,NPCC,,"50,752","severe weather, thunderstorm",17:00:00,09:00:00
967,Severe Thunderstorms,2009,6/26/2009,6/27/2009,Duke Energy Midwest,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,327,"85,000","severe weather, thunderstorm",01:00:00,09:00:00
968,High Winds/Rain,2009,6/25/2009,6/28/2009,Detroit Edison,Western Region of Service Territory,RFC,,"118,000","severe weather, wind, rain",15:30:00,20:00:00
969,Made Public Appeals,2009,6/25/2009,6/25/2009,ERCOT ISO,ERCOT Region,TRE,,,public appeal,15:16:00,19:00:00
970,Made Public Appeals,2009,6/24/2009,6/24/2009,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Southwest Louisiana,SERC,,,public appeal,13:30:00,22:00:00
971,Severe Storm,2009,6/19/2009,6/19/2009,Exelon Corporation ComEd,The Entire ComEd Service Territory,SERC,,"245,000","severe weather, storm",13:00:00,23:59:00
972,Severe Storm,2009,6/19/2009,6/21/2009,Consumers Energy,Michigan Lower Peninsula,RFC,75,"99,000","severe weather, storm",00:01:00,23:00:00
973,Fuel Supply Deficiency,2009,6/16/2009,6/17/2009,California Department of Water Resources,A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency,23:00:00,02:00:00
974,Severe Storm,2009,6/12/2009,6/12/2009,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,860,"136,000","severe weather, storm",16:37:00,18:53:00
975,Severe Thunderstorm,2009,6/12/2009,6/13/2009,Southern Company,Georgia,SERC,290,"102,000","severe weather, thunderstorm",22:00:00,18:00:00
976,Severe Thunderstorms,2009,6/12/2009,6/15/2009,Entergy Corporation,"Arkansas, North Mississippi",SERC,,"81,645","severe weather, thunderstorm",17:45:00,23:59:00
977,Severe Storms,2009,6/10/2009,6/14/2009,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,,"800,000","severe weather, storm",18:00:00,10:00:00
978,Severe Thunderstorms,2009,6/9/2009,6/11/2009,Baltimore Gas and Electric,Central Maryland,RFC,60,"85,091","severe weather, thunderstorm",17:25:00,05:00:00
979,Electrical System Separation,2009,6/5/2009,6/5/2009,Pacific Gas and Electric,East of Fresno California,WECC,1,70,islanding,13:38:00,20:18:00
980,Transmission Equipment Failure,2009,5/29/2009,5/29/2009,Big Rivers Electric Corporation,"Henderson County, Kentucky",SERC,342,1,"equipment failure, transmission interruption",09:05:00,19:57:00
981,Severe Thunderstorm,2009,5/8/2009,5/8/2009,The Empire District Electric Company,SW Missouri,SERC,266,"83,000","severe weather, thunderstorm",07:30:00,09:00:00
982,Severe Thunderstorm,2009,5/8/2009,5/14/2009,Ameren,Southern Illinois,SERC,300,"68,800","severe weather, thunderstorm",13:30:00,23:20:00
983,High Winds,2009,4/27/2009,4/28/2009,CenterPoint Energy,Greater Houston/Galveston Area,TRE,176,"158,000","severe weather, wind",15:30:00,11:30:00
984,High Winds/Rain,2009,4/25/2009,4/29/2009,Detroit Edison,Western Region of Service Territory,RFC,,"125,000","severe weather, wind, rain",14:30:00,01:00:00
985,Complete Electric System Failure,2009,4/24/2009,4/24/2009,Constellation Energy,"Ruston, Louisiana",SERC,32,"11,000",unknown,11:09:00,11:21:00
986,Fuel Supply Deficiency,2009,4/23/2009,Ongoing,"State of California, Department of Water Resources",Restricted Hydro Electric Capability,WECC,-,-,fuel supply emergency,00:00:00,
987,Substation Load Interruption,2009,4/23/2009,4/23/2009,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,"280,000",load shedding,17:54:00,19:58:00
988,Transmission Tripped,2009,4/23/2009,4/24/2009,Puget Sound Energy,"Skagit County, Washington",WECC,244,"93,300",equipment failure,16:25:00,00:29:00
989,Severe Thunderstorms,2009,4/10/2009,4/11/2009,Southern Company,Alabama and Georgia,SERC,162,"56,679","severe weather, thunderstorm",22:00:00,02:30:00
990,Winter Storm,2009,4/6/2009,4/8/2009,Consumers Energy,"Michigan, Lower Peninsula",RFC,75,"70,793","severe weather, winter storm",01:00:00,12:00:00
991,Unit Shut Down,2009,3/8/2009,3/8/2009,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,150,-,unknown,22:16:00,23:45:00
992,Made Public Appeals,2009,3/3/2009,3/4/2009,American Electric Power,"Roanoke, Virginia",RFC,350,0,public appeal,22:00:00,20:17:00
993,Transformer Faulted/Unit Tripped,2009,3/3/2009,4/26/2009,"New Covert Generating Company, LLC",Southwest Michigan,RFC,378,,equipment failure,06:48:00,06:05:00
994,Winter Storm,2009,3/1/2009,3/3/2009,Dominion Virginia/North Carolina Power,Central Virginia - Spotsylvania County,SERC,210,"217,000","severe weather, winter storm",22:00:00,18:00:00
995,Ice/Snow Storm,2009,3/1/2009,3/3/2009,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"1,000","180,000","severe weather, winter storm",20:54:00,16:06:00
996,Transmission Equipment Failure,2009,3/1/2009,3/1/2009,El Paso Electric Company,"City of El Paso, Texas, County of El Paso",WECC,250,"132,000","equipment failure, transmission interruption",00:15:00,03:00:00
997,Severe Weather,2009,3/1/2009,3/1/2009,Southern Company,Southern Balancing Area,SERC,75,"60,000",severe weather,16:00:00,23:25:00
998,Ice/Snow Storm,2009,2/23/2009,2/24/2009,Central Maine Power Company,Southern Central and Western Maine,NPCC,,"131,000","severe weather, winter storm",02:38:00,13:46:00
999,High Winds,2009,2/13/2009,2/15/2009,Ohio Edison Company,Central and Eastern Ohio,RFC,168,"184,000","severe weather, wind",02:30:00,03:00:00
1000,High Winds,2009,2/12/2009,2/12/2009,Midwest ISO,Central and Eastern Ohio,RFC,168,"184,000","severe weather, wind",02:30:00,06:00:00
1001,High Winds,2009,2/12/2009,2/15/2009,Penelec,Western and North Eastern Pennsylvania,RFC,130,"132,000","severe weather, wind",08:00:00,22:00:00
1002,Severe Thunderstorms,2009,2/11/2009,2/16/2009,Allegheny Power,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,,"374,644","severe weather, thunderstorm",18:18:00,20:10:00
1003,Severe Thunderstorms,2009,2/11/2009,2/13/2009,American Electric Power,"Kentucky, West Virginia and Ohio",RFC,,"279,813","severe weather, thunderstorm",18:00:00,17:00:00
1004,Severe Thunderstorms,2009,2/11/2009,2/12/2009,Midwest ISO,Northern Kentucky and Southwest Ohio,RFC,350,"63,000","severe weather, thunderstorm",21:00:00,12:00:00
1005,High Winds,2009,2/11/2009,2/11/2009,CenterPoint Energy,"Houston, Texas",TRE,350,"64,801","severe weather, wind",02:30:00,12:00:00
1006,Severe Thunderstorms,2009,2/11/2009,2/12/2009,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,,"78,000","severe weather, thunderstorm",19:00:00,11:00:00
1007,Winter Storm,2009,1/28/2009,1/30/2009,Midwest ISO,East Central Missouri,RFC,300,1,"severe weather, winter storm",00:10:00,21:20:00
1008,Ice/Snow Storm,2009,1/28/2009,1/30/2009,Duke Energy Ohio,Northern Kentucky and Southwest Ohio,RFC,,"53,600","severe weather, winter storm",10:00:00,21:20:00
1009,Ice/Snow Storm,2009,1/28/2009,2/13/2009,Duke Energy Indiana,Southern Indiana,RFC,,"53,700","severe weather, winter storm",07:50:00,08:03:00
1010,Winter Storm,2009,1/28/2009,2/13/2009,Midwest ISO,"Illinois, Indiana, Ohio and Kentucky",RFC,,"230,300","severe weather, winter storm",03:00:00,08:03:00
1011,Ice Storm,2009,1/28/2009,2/5/2009,Tennessee Valley Authority,Northeast Tennessee and Southwest Kentucky,SERC,,"109,527","severe weather, winter storm",09:00:00,08:00:00
1012,Ice Storm,2009,1/28/2009,2/5/2009,Vectren Energy Delivery of Indiana,"Indiana, Evansville, Metro Area",RFC,506,"75,000","severe weather, winter storm",06:00:00,18:00:00
1013,Ice Storm,2009,1/28/2009,2/7/2009,Henderson Municipal Power and Light,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,21,"3,500","severe weather, winter storm",04:00:00,17:00:00
1014,Ice/Snow Storm,2009,1/27/2009,1/29/2009,American Electric Power,CSWS-AEP West,RFC,,"59,402","severe weather, winter storm",15:43:00,09:00:00
1015,Ice Storm,2009,1/27/2009,2/4/2009,Big Rivers Electric Corporation,Western Kentucky and Southern Indiana,SERC,350,3,"severe weather, winter storm",07:10:00,19:30:00
1016,Winter Storm,2009,1/27/2009,1/30/2009,"Associated Electric Cooperative, Inc.",South Central and Southeast Missouri,SERC,200,"62,500","severe weather, winter storm",11:00:00,18:00:00
1017,Ice Storm,2009,1/27/2009,1/29/2009,Arkansas Electric Cooperative Corporation,Northern Arkansas,SERC,600,"215,700","severe weather, winter storm",21:00:00,06:00:00
1018,Ice Storm,2009,1/27/2009,1/31/2009,"East Kentucky Power Cooperative, Inc.",Central and Eastern Kentrucky,SERC,600,"190,000","severe weather, winter storm",05:03:00,17:15:00
1019,Ice Storm,2009,1/27/2009,2/3/2009,Entergy Corporation,Northern Arkansas,SERC,,"111,818","severe weather, winter storm",13:46:00,17:00:00
1020,Ice Storm,2009,1/27/2009,1/29/2009,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,,"383,000","severe weather, winter storm",05:00:00,16:30:00
1021,Ice Storm,2009,1/27/2009,1/27/2009,Tennessee Valley Autbority,TVA Service Territory,SERC,850,1,"severe weather, winter storm",21:45:00,22:17:00
1022,Shed Load,2009,1/22/2009,1/22/2009,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,50,"9,700",load shedding,16:00:00,17:05:00
1023,Fuel Supply Deficiency,2009,1/17/2009,1/25/2009,"State Line Energy, LLC","PJM, Indiana",RFC,,,fuel supply emergency,08:00:00,08:00:00
1024,Transmission Equipment Failure,2009,1/8/2009,1/9/2009,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FRCC,55,"31,000","equipment failure, transmission interruption",23:46:00,11:25:00
1025,High Winds,2009,1/7/2009,1/7/2009,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,300,"70,000","severe weather, wind",17:00:00,20:05:00
1026,Severe Storm,2009,1/5/2009,1/6/2009,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,,"157,019","severe weather, storm",05:00:00,18:00:00
1027,Shed Firm Load,2008,12/30/2008,12/30/2008,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,41,"9,700",load shedding,16:02:00,16:37:00
1028,Wind Storm,2008,12/28/2008,12/31/2008,Consumers Energy,Michigan Lower Peninsula,RFC,,"210,517","severe weather, wind",04:45:00,18:00:00
1029,Wind Storm,2008,12/28/2008,12/28/2008,Midwest ISO,Michigan Lower Peninsula,RFC,,"230,000","severe weather, wind",11:45:00,23:30:00
1030,Wind Storm,2008,12/27/2008,1/1/2008,DTE Energy,Southeastern Michigan,RFC,,"247,847","severe weather, wind",16:00:00,23:30:00
1031,Lightning,2008,12/26/2008,12/27/2008,"Hawaiian Electric Company, Inc.","Island of Oahu, Hawaii",HI,"1,060","294,000","severe weather, thunderstorm",18:13:00,17:00:00
1032,Load Shedding,2008,12/26/2008,12/26/2008,Sacramento Municipal Utility District,"Orangevale Area of Sacramento, California",WECC,110,"50,000",load shedding,11:40:00,15:34:00
1033,Ice Storm,2008,12/19/2008,12/20/2008,Midwest ISO,Northwest Indiana,RFC,,"50,000","severe weather, winter storm",09:00:00,08:20:00
1034,Electrical System Separation,2008,12/19/2008,12/19/2008,Pacific Gas and Electric Company,"East of Oroville, California",WECC,1,638,islanding,01:02:00,06:17:00
1035,Ice Storm,2008,12/19/2008,12/22/2008,American Electric Power,"Indiana, Michigan and Northwest Ohio",RFC,,"140,000","severe weather, winter storm",08:30:00,12:00:00
1036,Declared Stage 1 Electric Emergency/Made Public Appeal,2008,12/13/2008,12/21/2008,Pacific Gas and Electric Company,Humboldt Area of California,WECC,5,0,public appeal,15:30:00,09:17:00
1037,Ice Storm,2008,12/12/2008,12/14/2008,Central Maine Power Company,Southern and Central Maine,NPCC,,"169,757","severe weather, winter storm",08:45:00,09:52:00
1038,Ice Storm,2008,12/12/2008,12/22/2008,ISO New England,New England,NPCC,,"970,000","severe weather, winter storm",01:00:00,00:00:00
1039,Ice Storm,2008,12/12/2008,12/19/2008,National Grid,Eastern New York,NPCC,200,"190,000","severe weather, winter storm",02:38:00,13:24:00
1040,Ice Storm,2008,12/11/2008,12/15/2008,Central Hudson Gas and Electric,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,,"60,000","severe weather, winter storm",18:00:00,00:00:00
1041,Snow Storm,2008,12/11/2008,12/13/2008,Entergy Corporation,"Southern Louisiana, Southern and Central Mississippi",SERC,,"91,300","severe weather, winter storm",09:00:00,23:59:00
1042,Equipment Failure/Made Public Appeal,2008,12/10/2008,12/10/2008,PacifiCorp,Southern Oregon,WECC,32,3,"equipment failure, public appeal",17:09:00,20:29:00
1043,Lines Loss/Transmission,2008,12/9/2008,12/10/2008,Jersey Central Power and Light,Central New Jersey,RFC,438,"156,729",transmission interruption,17:27:00,04:12:00
1044,Fire/Load Shedding,2008,12/2/2008,12/2/2008,Midwest ISO,"St. Louis, Missouri",RFC,135,"53,000","wild fire, load shedding",04:30:00,07:00:00
1045,Brush Fire/Shed Firm Load,2008,11/15/2008,11/15/2008,Los Angeles Department of Water and Power,City of Los Angeles,WECC,211,"115,500","wild fire, load shedding",09:39:00,10:10:00
1046,Shed Firm Load,2008,11/11/2008,11/11/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,250,"261,000",load shedding,08:30:00,00:19:00
1047,Load Shedding,2008,11/7/2008,11/7/2008,California ISO,Southern California,WECC,430,"400,000",load shedding,11:15:00,11:54:00
1048,Load Shedding,2008,11/7/2008,11/7/2008,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,250,"140,000",load shedding,11:13:00,11:54:00
1049,Severe Storm,2008,10/25/2008,10/27/2008,ISO New England,Connecticut,NPCC,,"52,000","severe weather, storm",23:00:00,07:00:00
1050,Load Shedding,2008,10/2/2008,10/2/2008,Dow Chemical Company,Louisiana,SERC,200,0,load shedding,14:50:00,09:50:00
1051,Electrical System Separation,2008,9/30/2008,9/30/2008,Pacific Gas and Electric Company,"Plumas County, California",WECC,30,"10,000",islanding,14:02:00,14:05:00
1052,Shed Firm Load,2008,9/22/2008,9/22/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,125,"43,600",load shedding,17:49:00,06:39:00
1053,Tropical Depression Ike,2008,9/15/2008,9/19/2008,Allegheny Power,Western Pennsylvania,RFC,546,"160,875","severe weather, hurricane/tropical storm",00:37:00,16:30:00
1054,Wind Storm,2008,9/14/2008,9/22/2008,Ohio Edison Company,"Southern, Eastern, and Central Ohio",RFC,469,"564,728","severe weather, wind",17:00:00,17:11:00
1055,High Winds,2008,9/14/2008,9/21/2008,Owensboro Municipal Utilities,"City of Owensboro, Kentucky",RFC,70,"18,000","severe weather, wind",10:01:00,17:00:00
1056,Tropical Depression Ike,2008,9/14/2008,9/14/2008,Louisville Gas/Kentucky Utilities,State of Kentucky,RFC,,"375,000","severe weather, hurricane/tropical storm",11:30:00,16:30:00
1057,Wind Storm,2008,9/14/2008,9/22/2008,Cleveland Electric Illuminating Company,Northeast Ohio,RFC,430,"245,164","severe weather, wind",17:00:00,03:20:00
1058,Hurricane Ike,2008,9/14/2008,9/18/2008,Ameren Corporation,Missouri and Illinois,MRO,,"107,000","severe weather, hurricane/tropical storm",07:30:00,15:00:00
1059,Tropical Depression Ike,2008,9/14/2008,9/14/2008,Midwest ISO,"Ohio, Kentucky, Indiana",RFC,,"875,000","severe weather, hurricane/tropical storm",06:30:00,14:38:00
1060,Wind Storm,2008,9/14/2008,9/19/2008,Pennsylvania Electric Company,Western Pennsylvania,RFC,72,"124,596","severe weather, wind",17:00:00,12:38:00
1061,Hurricane Ike,2008,9/14/2008,9/17/2008,Dayton Power and Light,Dayton Ohio Area,RFC,"1,000","95,000","severe weather, hurricane/tropical storm",14:00:00,12:00:00
1062,Tropical Depression Ike,2008,9/14/2008,9/14/2008,Duquesne Light Company,Allegheny and Beaver Counties in Pennsylvania,RFC,600,"105,000","severe weather, hurricane/tropical storm",19:00:00,23:59:00
1063,Wind Storm,2008,9/14/2008,9/20/2008,American Electric Company,"Northern Indiana, Central and Central Southern Ohio",RFC,,"650,000","severe weather, wind",16:00:00,23:00:00
1064,Hurricane Ike,2008,9/13/2008,9/15/2008,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,,"238,392","severe weather, hurricane/tropical storm",12:00:00,08:00:00
